Normalized_Weather,Severity,accident_count,avg_Severity,avg_Start_Lat,avg_Start_Lng,avg_Distance(mi),avg_Temperature(F),avg_Wind_Chill(F),avg_Humidity(%),avg_Pressure(in),avg_Visibility(mi),avg_Wind_Speed(mph),avg_Precipitation(in),avg_day_of_week_num,avg_duration_minutes,count_true_Amenity,count_true_Bump,count_true_Crossing,count_true_Give_Way,count_true_Junction,count_true_No_Exit,count_true_Railway,count_true_Roundabout,count_true_Station,count_true_Stop,count_true_Traffic_Calming,count_true_Traffic_Signal,count_true_Turning_Loop,count_true_rush_hour,count_true_twilight
Fog,3,26115,3.0,36.39152139624737,-101.4988420193758,0.3587465823801633,58.78905464945507,54.12359413946137,78.9935594009467,29.728174843684066,3.4719932561882136,5.544429393836773,0.0010836683898142832,4.047329121194716,66.89606547960942,74,5,745,88,2642,26,185,0,291,165,11,1435,0,13404,0
Sleet,4,438,4.0,40.32990874611011,-84.73362515461834,1.8730273956708174,30.61187214611872,23.833333333333332,90.46575342465754,29.008675799086756,4.547374429223744,8.513698630136986,0.014073226544622428,3.9680365296803655,2621.1494292237435,1,0,10,4,54,0,4,0,3,9,0,21,0,167,0
Rain,4,12476,4.0,38.290308322508096,-86.7725141529996,1.4351347386429705,56.417942313889775,53.51566056910569,88.98444840434149,29.44570854755784,6.311891349703096,8.687356610566859,0.048399111566717876,4.053622956075666,1392.9244282355453,126,4,735,68,1437,19,74,1,151,308,5,1102,0,3953,0
Cloudy,1,26065,1.0,36.12808747285633,-91.95651763479763,0.12885006710060176,71.30133743274403,71.07238462737759,66.60957586021091,29.271956254796617,9.691668586347232,7.571789628029017,0.0012388260118933435,4.04147323997698,65.09615256729973,694,12,6848,206,1342,137,452,0,1240,938,29,9868,0,16053,0
Sleet,2,11575,2.0,40.82886197386083,-87.45809897052678,1.4364909718087016,30.648522550544325,23.28694900605013,89.73742437337943,29.06720813500648,4.103228986509858,9.534785238959469,0.02224902723735405,4.085442764578834,469.3546637868971,81,3,535,35,1040,9,55,0,105,189,5,782,0,4585,0
N/A Precipitation,4,123,4.0,40.18269412885243,-91.70414932513313,3.2148130059203477,23.70940170940171,11.18918918918919,81.82608695652173,28.16154471544715,4.0,16.034188034188034,0.007833333333333335,4.0,8747.700948509486,0,0,5,0,13,0,3,0,0,6,0,5,0,25,0
Drizzle,1,161,1.0,36.795437291925474,-88.06754880124225,0.2055900614306053,60.81614906832298,60.100628930817614,86.43478260869566,29.14428571428572,5.910621118012422,7.796250000000001,0.006100628930817611,3.720496894409938,48.98136645962734,2,0,37,2,7,0,5,0,5,1,0,55,0,109,0
,1,954,1.0,35.58882189203355,-93.47877807232703,0.16091299776017542,75.50129032258064,77.33333333333333,52.14193548387097,28.947290640394087,9.660194174757281,6.410071942446043,7.142857142857143E-4,4.0083857442348005,45.46250873515025,21,0,191,6,38,1,5,0,33,51,0,277,0,570,0
Fog,4,4117,4.0,38.2411596657965,-91.1284862616739,1.5488229294633993,51.95133284421618,48.81052019761697,87.89645843580915,29.377173119065013,2.0524854227405247,4.985799457994579,9.497206703910616E-4,4.07141122176342,1277.555663509028,29,0,195,22,460,7,26,0,37,119,2,326,0,1622,0
Fog,1,936,1.0,36.222921836538454,-92.33633767628206,0.11290811978229602,64.32101841820152,64.2284140969163,89.21316964285714,29.449989281886385,2.399027777777778,3.7219696969696967,0.0010897435897435897,4.076923076923077,47.57772435897436,16,0,153,4,47,1,5,0,27,40,0,245,0,653,0
,3,30295,3.0,36.87725109384385,-90.1388623149695,0.4899273802857962,59.200714206003795,50.267913204062786,64.08018762564217,29.912719087006597,9.282061216582719,8.557648401826485,0.08977628635346757,4.119788744017164,73.60171700500631,40,2,841,301,3184,8,633,0,381,147,13,1634,0,13450,0
N/A Precipitation,3,204,3.0,39.95708643627451,-88.66106813235295,1.8722009934752302,27.66,17.596858638743456,84.95918367346938,28.813891625615756,4.998762376237623,13.476923076923077,0.01594059405940594,3.9607843137254903,73.55678104575163,0,0,2,0,9,0,0,0,0,2,0,2,0,92,0
Tornado,2,35,2.0,32.691104872250456,-85.3525876299752,0.6225714290482657,74.39714285714285,76.0,78.21212121212122,29.625428571428575,7.885714285714286,11.213333333333331,0.035517241379310345,4.714285714285714,698.7428571428572,0,0,4,1,1,0,1,0,2,0,0,6,0,20,0
Snow,4,6118,4.0,41.19709631881384,-89.66879631419168,2.5736381155280514,24.944236760124603,15.264796804445988,85.73061760840999,28.55691426701571,2.7002110602094245,11.230552189717846,0.011654390934844192,4.005884275907159,624.8190149286261,34,0,181,18,699,3,31,0,40,176,1,330,0,1976,0
Hail,4,7,4.0,43.61778978211421,-109.9893335383439,0.5162857142857142,35.41428571428572,31.266666666666666,78.28571428571429,30.062857142857148,8.571428571428571,6.3,0.0014285714285714286,4.142857142857143,280.91904761904755,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0
Rain,1,3075,1.0,37.232274959674804,-90.4244234718699,0.2292448782751812,62.073893229166664,61.402407651715045,86.6941636778611,29.429951187764406,6.537760416666667,8.285984972231297,0.051692052980132415,3.823739837398374,44.2040325203252,62,3,640,24,287,9,51,0,145,94,5,939,0,1772,0
Fog,2,157854,2.0,36.59118588953812,-101.27174308223658,0.5721739899118783,54.18989583931316,51.714866586582204,83.73169212992681,29.520194530070636,2.7422247579924317,4.520042325578211,0.0010417854473120708,4.104134199956922,411.1669223881981,1704,47,14366,638,11217,308,1498,8,3319,5287,103,20755,0,77293,0
Smoke,4,425,4.0,42.670751698863,-119.49166351425316,3.043981176930595,70.7695754716981,70.9376923076923,47.42316784869976,29.40995294117647,4.383042452830188,6.139655172413793,0.0,4.03764705882353,2174.723333333334,6,0,22,2,9,3,1,0,3,1,0,22,0,166,0
Freezing Rain,2,4105,2.0,40.55552552961507,-90.48015098738901,0.9500499389920469,28.586425781250004,20.651555188549406,87.54178885630499,29.73104852475005,4.611048624754421,9.86926882902694,0.020661431591664153,3.913276492082826,177.56208282582216,35,0,370,21,348,6,20,0,70,115,0,476,0,2014,0
Freezing Rain,4,356,4.0,40.759858941564936,-89.81071137999656,2.5950000090947314,28.203651685393258,20.24983713355049,89.5505617977528,29.8005617977528,4.116292134831461,10.903908794788272,0.025999999999999995,4.123595505617978,232.10220037453183,3,0,19,0,50,1,1,0,7,4,0,20,0,118,0
Snow,3,25966,3.0,41.61677667072325,-87.84256225028889,0.9445345462731536,24.570562837316885,14.674368187323381,85.29391344596158,29.36536475394042,2.816994096994482,11.105886387476804,0.011731560066497462,3.942309173534622,69.89594726437137,57,3,707,46,2332,35,89,0,150,91,12,1099,0,10780,0
Freezing Rain,3,1587,3.0,40.54678478323882,-86.02856399117832,1.0704146184391696,28.58604797979797,19.75524017467249,89.18848829854522,29.963491461100574,3.692893240682249,10.877761627906978,0.03291159772911599,3.6351606805293004,61.197227473219904,1,0,37,4,172,2,3,1,3,8,0,66,0,689,0
Dust/Sand,2,710,2.0,34.72701841469359,-109.54905689284257,0.5410492959224004,69.25722543352602,68.66952714535903,23.121387283236995,28.45165697674419,6.6322048364153625,22.10085592011412,7.763401109057302E-4,3.992957746478873,140.17023474178404,6,0,68,1,46,3,5,0,10,17,0,139,0,273,0
